tax_id,parent_id,rank,tax_name,root,rank_0,rank_1
Root,Root,root,Root,Root,,
Bacteria_XmoA,Root,rank_0,Bacteria_XmoA,Root,Bacteria_XmoA,
Beta_AmoA_AOB,Bacteria_XmoA,rank_1,Beta_AmoA_AOB,Root,Bacteria_XmoA,Beta_AmoA_AOB
Alpha_PmoA,Bacteria_XmoA,rank_1,Alpha_PmoA,Root,Bacteria_XmoA,Alpha_PmoA
Gamma_PmoA,Bacteria_XmoA,rank_1,Gamma_PmoA,Root,Bacteria_XmoA,Gamma_PmoA
Archaea_XmoA,Root,rank_0,Archaea_XmoA,Root,Archaea_XmoA,
AmoA_AOA,Archaea_XmoA,rank_1,AmoA_AOA,Root,Archaea_XmoA,AmoA_AOA
NC10_PmoA,Bacteria_XmoA,rank_1,NC10_PmoA,Root,Bacteria_XmoA,NC10_PmoA
Gamma_AmoA,Bacteria_XmoA,rank_1,Gamma_AmoA,Root,Bacteria_XmoA,Gamma_AmoA
Pxm_group,Bacteria_XmoA,rank_1,Pxm_group,Root,Bacteria_XmoA,Pxm_group
Verrucomicrobia_PmoA,Bacteria_XmoA,rank_1,Verrucomicrobia_PmoA,Root,Bacteria_XmoA,Verrucomicrobia_PmoA
